ANNO,TRIMESTRE,MES_DEL_TRIMESTRE,ID_EMPRESA,EMPRESA,ID_SEGMENTO,SEGMENTO,ID_TERMINAL,TERMINAL,INGRESOS
2012,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,26869952283
2012,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,942043883
2012,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1527964600
2012,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,597527706
2012,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,24099365412
2012,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5351725
2012,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,11689825120
2012,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,47214239
2012,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,1,Personas,2,Data Card,2345536490
2012,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,2,Empresas,2,Data Card,186436920
2012,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,27037544785
2012,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,954388432
2012,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1558947880
2012,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,616682484
2012,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,24260615004
2012,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5331231
2012,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,11808167371
2012,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,47649259
2012,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,27696178190
2012,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,985099797
2012,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1621157247
2012,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,649278735
2012,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,9374427379
2012,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,7886203529
2012,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,455009034
2012,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,178368971
2012,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,24508357396
2012,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5595124
2012,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,11927174510
2012,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,47336299
2012,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,27991946997
2012,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1003725488
2012,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1664495955
2012,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,674929925
2012,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,9714563772
2012,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,7920068940
2012,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,448012546
2012,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,177438990
2012,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,24917489486
2012,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5698519
2012,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12064273998
2012,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,47106163
2012,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,27933178175
2012,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1010328143
2012,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1688564568
2012,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,693182445
2012,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,10176307642
2012,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,8043212598
2012,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,457846617
2012,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,181809384
2012,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,25465597886
2012,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5814014
2012,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12236991921
2012,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,42752616
2012,2,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,2,Empresas,2,Data Card,341110876
2012,2,2,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,1,Personas,2,Data Card,2113406004
2012,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,28253927695
2012,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1031398862
2012,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1737719072
2012,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,722195488
2012,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,10628411608
2012,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,8261137681
2012,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,457792365
2012,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,208828910
2012,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,26096546203
2012,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,5898756
2012,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12299717480
2012,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,43799145
2012,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,28319167374
2012,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1043729772
2012,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1772846118
2012,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,745505596
2012,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,11198267249
2012,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,8236900917
2012,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,449555727
2012,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,204258736
2012,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,26935766556
2012,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,6152975
2012,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12341187207
2012,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,43280781
2012,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,28289874259
2012,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1053139023
2012,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1803566020
2012,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,766975321
2012,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,11940025910
2012,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,7961456230
2012,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,470672066
2012,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,195244901
2012,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,27678882151
2012,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,6253414
2012,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12379960185
2012,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,43521008
2012,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,28038390452
2012,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,2,Data Card,1054635615
2012,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,1,Teléfono móvil,1821249104
2012,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Empresas,2,Data Card,782800627
2012,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,1,Teléfono Móvil,12858161438
2012,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Personas,2,Datacard,7432851521
2012,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,1,Teléfono Móvil,482317197
2012,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Empresas,2,Datacard,189506506
2012,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,1,Telefono Movil,28313663741
2012,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Personas,2,Data card,6347182
2012,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,1,Telefono Movil,12526123833
2012,3,3,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Empresas,2,Data card,41982664
2012,3,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,1,Personas,2,Data Card,2767498246
2012,3,3,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. ESP.,2,Empresas,2,Data Card,426865714
2012,4,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Personas,1,Teléfono móvil,28100466905
