ANNO,TRIMESTRE,MES_DEL_TRIMESTRE,ID_SEGMENTO,SEGMENTO,ID_EMPRESA,EMPRESA,ID_TERMINAL,TERMINAL,ID_TECNOLOGIA,TECNOLOGIA,CANTIDAD_SUSCRIPTORES
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,50590
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,469844
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,2024
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,25295
2012,1,1,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,22533
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,45531
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,141651
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,20236
2012,1,1,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,1,2G,25037
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,2,3G,612953
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,3,4G,0
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,1,2G,1
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,2,3G,133
2012,1,1,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,3,4G,0
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,1,2G,15921
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,2,3G,208322
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,3,4G,0
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,1,2G,6
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,2,3G,670
2012,1,1,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,3,4G,0
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,54330
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,514573
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,2211
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,27586
2012,1,2,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,24802
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,49764
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,152916
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,21834
2012,1,2,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,1,2G,26644
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,2,3G,629846
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,3,4G,0
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,1,2G,0
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,2,3G,137
2012,1,2,1,Personas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,3,4G,0
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,1,2G,15725
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,2,3G,214880
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,1,Teléfono Móvil,3,4G,0
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,1,2G,6
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,2,3G,698
2012,1,2,2,Empresas,800153993,COMUNICACION CELULAR S A COMCEL S A,2,Data card,3,4G,0
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,57265
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,553226
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,2371
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,29533
2012,1,3,1,Personas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,1,2G,26797
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,2,3G,53395
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1,Teléfono Móvil,3,4G,0
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,1,2G,162038
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,2,3G,23124
2012,1,3,2,Empresas,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,2,Data Card,3,4G,0
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,1,2G,80088
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,2,3G,207808
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,3,4G,0
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,1,2G,0
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,2,3G,225453
2012,1,3,1,Personas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,3,4G,0
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,1,2G,2870
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,2,3G,8718
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,1,Teléfono Móvil,3,4G,0
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,1,2G,0
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,2,3G,4548
2012,1,3,2,Empresas,830114921,COLOMBIA MOVIL S.A. E.S.P.,2,Data Card,3,4G,0
