ANNO,TRIMESTRE,MES_DEL_TRIMESTRE,ID_EMPRESA,EMPRESA,TRAFICO
2012,1,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1060984799
2012,1,1,800153993,COMUNICACION CELULAR S A COMCEL S A,975688465
2012,1,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,346777808
2012,1,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1064638047
2012,1,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1003393113
2012,1,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1147651918
2012,1,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,964762965
2012,1,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1143490821
2012,2,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1109486911
2012,2,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,951817201
2012,2,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1153084529
2012,2,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,32956341
2012,2,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1165995973
2012,2,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,1037662414
2012,2,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1243346534
2012,2,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1111419249
2012,2,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,970472943
2012,2,3,800153993,COMUNICACION CELULAR S A COMCEL S A,1255352841
2012,3,1,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1081665376
2012,3,1,830114921,COLOMBIA MOVIL S.A. E.S.P.,1016294229
2012,3,1,800153993,COMUNICACION CELULAR S A COMCEL S A,1292005796
2012,3,1,899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOT� S.A. ESP.,28080113
2012,3,2,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,1080269580
2012,3,2,830114921,COLOMBIA MOVIL S.A. E.S.P.,919052698
2012,3,2,800153993,COMUNICACION CELULAR S A COMCEL S A,1431505902
2012,3,3,830122566,COLOMBIA TELECOMUNICACIONES S.A. ESP,946493095
2012,3,3,830114921,COLOMBIA MOVIL S.A. E.S.P.,985306087
