ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
2012,1,1176511,,2529117,,,,,,,,14899,,,,
2012,2,1296041,,2182729,,,,,,,,14566,,,,
2012,3,1200276,929619,2636600,39647,,,,,,,16717,,,,
2012,4,1495856,952001,2242181,,,,,,,,17249,,,,
2012,5,1472165,941226,2646804,,,,,,,,18552,,,,
2012,6,1656250,980390,2237245,46886,,,,,,,17798,,,,
2012,7,1725136,1038047,2971505,,,,,,,,18986,,,,
2012,8,1787840,816769,3228328,,,,,,,,20279,,,,
2012,9,1845147,1012907,3515812,46510,,,,,,,19839,,,,
2012,10,1897737,1023409,3745596,,,,,,,,21026,,,,
2012,11,1723512,1051277,3955574,,,,,,,,20396,,,,
2012,12,1744595,1114258,4286508,41312,,,,,,,23777,,,,
2013,1,2032366,1172246,4519540,,113070,,,,,,17944,,,,
2013,2,1985323,1143607,4534803,,118426,,,,,,22919,,,,
2013,3,1758056,1258955,4816357,35678,121023,,,,,,26436,,,,
2013,4,2161515,1261242,4942035,,127896,,,5763,,,29181,,,,
2013,5,2205699,1006555,5296295,,134485,,,17674,,,29290,,,,
2013,6,2234490,990446,5387643,29570,139521,,,21622,,,27063,,,,
2013,7,2258855,1360291,5609669,,138654,,,29442,,,28361,,,,
2013,8,2017873,1384118,5863319,,144429,,,37396,,,21874,,,,
2013,9,2350803,1366834,6037219,26678,146571,,58740,45146,,,27359,,,,
2013,10,2388831,1204921,6442552,,146129,,,55387,,,29991,,,,
2013,11,2433619,1451286,6536127,,149773,,,96626,,,18516,,,,
2013,12,2483278,1584652,7461393,23272,154187,,3915,116978,,,10891,,,,
2014,1,2543212,1552148,7589444,,194790,,,133213,,,14524,,,,
2014,2,2598221,1637987,7615640,,196483,,,145426,,,31462,,,,
2014,3,2602218,1647099,8741690,17434,202526,,9289,168,,,35724,,,,
2014,4,2123239,1588827,9786599,,208300,,,185472,,,33031,,,,
2014,5,2755320,1782364,10283813,,210762,,,221512,,,34082,,,,
2014,6,2806555,1898753,10385552,17683,214031,,57065,259718,,,16990,,,,
2014,7,2530890,1710240,10933037,,194860,,,308433,,,34216,,,,
2014,8,2872982,1929448,11144916,,215788,2814,,335358,,,33011,,,,
2014,9,2950663,2053924,11229727,16857,224341,6894,54492,355159,,,6928,,,,
2014,10,1911927,2120430,11529925,,221572,15344,,393953,,,33637,,,,
2014,11,2993476,2119409,11454924,,218135,37810,,404834,,,34079,,,,
2014,12,3091312,2375615,12274578,32032,226410,48876,91009,448,,,38756,,,,
2015,1,3155502,2438818,10273379,25046,199183,60059,53275,462428,,,37114,,,,
2015,2,1985005,2342690,8540721,36600,168556,75219,70513,462723,,,36619,,,,
2015,3,3219325,2399544,9874753,54638,180068,92250,82,486799,,,38846,,,,
2015,4,2253708,2334747,10405709,78546,172689,111436,45132,517897,,,21887,,,,
2015,5,3320736,2594715,10178211,98971,171307,141067,64177,611844,,,34083,,,,
2015,6,3375627,2646467,10209684,79825,161790,170459,87674,765561,,,32925,,,,
2015,7,3415387,2765863,11366783,141295,151547,196100,69663,828883,,,32783,,,,
2015,8,3514328,2743735,11290175,152015,145931,211086,114372,840276,,,32742,,,,
2015,9,3100873,2740411,11411605,137218,143703,219216,138497,848846,,,14776,,,,
2015,10,3636019,2803537,12654240,220271,128072,232033,98693,831632,,,32062,,,,
2015,11,3660417,2773649,12081838,236624,132580,246453,138751,843237,,,29819,,,,
2015,12,3784773,2900840,12698692,230600,120929,262487,190867,892011,,,30566,,,,
2016,1,4025780,2657438,12631106,253020,104605,276905,107784,698172,,,27974,,,,
2016,2,4015015,2753635,12226882,250049,96098,291908,134223,676436,,,25890,,,,
2016,3,4161343,2847277,12501698,205976,84512,309628,141562,698172,,,25589,,,,
2016,4,4047746,2806983,12392257,213167,57572,328705,137496,471877,,,25018,,,,
2016,5,4288251,2674349,12435718,269383,52286,349036,122614,487973,,,24236,,,,
2016,6,4333374,2918072,12703351,275853,52640,364154,132072,12662,,,22819,,,,
2016,7,4267790,2704730,12985854,286772,51145,384074,137,540413,,,9576,,,,
2016,8,4338995,2931567,12883902,319843,50289,401745,159574,554310,,,9187,,,,
2016,9,4544518,2462796,12395894,369122,43779,419253,162826,524405,,,21322,,,,
2016,10,4748619,2915657,13057452,288079,25524,434020,190016,632640,,,21036,,,,
2016,11,4698468,2873577,13067136,316788,13266,431949,187768,629,,,18543,,,,
2016,12,4954046,3077086,13907869,426575,9177,442915,213527,680370,,,21717,,,,
2017,1,5058364,3007747,13046415,387821,6451,437389,209,686284,,,17617,,,,
2017,2,4937937,2269496,13145667,404603,6183,426353,200033,581788,,,15710,,,,
2017,3,5173186,2850977,13432602,379466,6147,258333,224228,88354,,,7876,,,,
2017,4,5197576,2865900,13383539,340981,6069,467665,220006,609625,,,15827,,,,
2017,5,5280842,2914026,13527463,363894,5989,485878,220887,643977,,,15767,,,,
2017,6,5343054,2941217,13695957,376935,5987,507025,224657,639503,,,15328,,,,
2017,7,5418444,3005364,13768363,368778,5978,537255,248115,623097,,,14895,,,,
2017,8,5473060,2969228,13797722,353270,4794,558802,244086,620577,,,14412,,,,
2017,9,5489496,2974286,13819642,350780,1939,580288,235141,607438,,,14313,,,,
2017,10,5559573,3034106,14041315,360392,1936,606730,241007,577587,,,13716,,,,
2017,11,5574049,3041855,14135796,374267,2,632137,271864,611293,,,13304,,,,
2017,12,5774793,3281706,14677224,387576,,674895,344866,661671,,,13488,,,,
2018,1,5814061,3367684,14539036,383554,,694694,281101,486852,,,12602,,,,
2018,2,5711881,3316806,14075696,402758,,726961,255163,487060,,,11418,,,,
2018,3,5787903,3456571,14340790,412845,,772167,292303,484096,,,11640,,,,409
2018,4,5807890,3380371,14158125,404876,,791692,290934,482597,,,10899,,,,556
2018,5,5894637,3408186,14282003,420075,,826666,303680,480836,,,9840,,,,537
2018,6,5954271,3434506,14079768,421596,,843452,312337,470476,,,9635,,,,507
2018,7,6033115,3448559,14050188,398779,,857222,287589,467743,,,,,,,341
