ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
2012,1,32386111291.00,0.00,43863362475.00,2531973410.00,0.00,0.00,0.00,0.00,0.00,0.00,298636750.00,0.00,0.00,0.00,0.00
2012,2,32838158601.00,0.00,42717665502.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,298270676.00,0.00,0.00,0.00,0.00
2012,3,33909963867.00,22492907856.00,44141812748.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,334684746.00,0.00,0.00,0.00,0.00
2012,4,34557587937.00,22412389160.00,45996166948.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,339495714.00,0.00,0.00,0.00,0.00
2012,5,34781203610.00,23452520912.00,46959042305.00,2454516880.00,0.00,0.00,0.00,0.00,0.00,0.00,368534897.00,0.00,0.00,0.00,0.00
2012,6,35492709480.00,24327600149.00,46906654798.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364044814.00,0.00,0.00,0.00,0.00
2012,7,35896306382.00,25045784047.00,48423624941.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393974214.00,0.00,0.00,0.00,0.00
2012,8,36190285756.00,25943117579.00,49050388295.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,414054562.00,0.00,0.00,0.00,0.00
2012,9,36206337851.00,25820818055.00,50250801437.00,3194363960.00,0.00,0.00,0.00,0.00,0.00,0.00,404010131.00,0.00,0.00,0.00,0.00
2012,10,36636122319.00,26335307879.00,52097630086.00,2342177947.00,0.00,0.00,0.00,0.00,0.00,0.00,435376038.00,0.00,0.00,0.00,0.00
2012,11,37605208028.00,26759238100.00,52756909685.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,389560175.00,0.00,0.00,0.00,0.00
2012,12,38901750391.00,28331914189.00,57286302993.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,441732985.00,0.00,0.00,0.00,0.00
2013,1,38407711109.00,28022150354.00,60669951014.00,2119479375.00,2062839349.00,0.00,0.00,0.00,0.00,0.00,421239534.00,0.00,0.00,0.00,0.00
2013,2,37805267096.00,28279647037.00,59822108763.00,0.00,1765234176.00,0.00,0.00,0.00,0.00,0.00,398338918.00,0.00,0.00,0.00,0.00
2013,3,38812412966.00,29575505011.00,63625873354.00,0.00,2557264803.00,0.00,0.00,0.00,0.00,0.00,458424402.00,0.00,0.00,0.00,0.00
