ANNO,MES,COLOMBIA_TELECOMUNICACIONES,COLOMBIA_MOVIL,COMUNICACION_CELULAR_COMCEL,EMPRESA_DE_TELECOMUNICACIONES_DE_BOGOTA,UNE_EPM,AVANTEL,ALMACENES_EXITO,VIRGIN_MOBILE,PARTNERS_TELECOM,SETROC_MOBILE,UFF_MOVIL,CELLVOZ_COLOMBIA,LOGISTICA_FLASH,LOV_TELECOMUNICACIONES,SUMA_MOVIL
2012,1,1242463067,,1005222302,346777808,,,,,,,,,,,
2012,2,1272815849,,1034725774,,,,,,,,,,,,
2012,3,1402277830,1014434324,1174230699,,,,,,,,,,,,
2012,4,1385991002,1012540565,1181993271,32956341,,,,,,,26413773,,,,
2012,5,1489735098,1111925240,1274426681,,,,,,,,25939149,,,,
2012,6,1452953719,1053810873,1291351202,,,,,,,,29864960,,,,
2012,7,1446808026,1113651049,1338254063,28080113,,,,,,,35249050,,,,
2012,8,1478454892,1032491714,1490740187,,,,,,,,36495053,,,,
2012,9,1325411888,1119522745,1623039663,,,,,,,,36582400,,,,
2012,10,1408225104,1259769670,1824208055,32195026,,,,,,,51207199,,,,
2012,11,1358725420,1114086371,1368171824,,,,,,,,49199073,,,,
2012,12,1290789916,1216941216,1423114010,,,,,,,,51661005,,,,
2013,1,1371182068,1266882648,1503358090,29973819,189256522,,,,,,59357680,,,,
2013,2,1341619761,1276161860,1451544963,,172188076,,,,,,57625325,,,,
2013,3,1582314067,1185768630,1741453736,,171670564,,,,,,66468131,,,,
2013,4,1527243165,1325097040,1689265794,28384378,161675142,,,825004,,,56694008,,,,
2013,5,1766918688,1452930152,2332513758,,397290872,,,2813287,,,34945952,,,,
2013,6,1747629935,1335464675,2348907685,,392556704,,,5550235,,,26929551,,,,
2013,7,1733507736,1458334841,2441630632,31230350,387235979,,,11508469,,,36034888,,,,
2013,8,1814436741,1561319474,2777098377,,448391715,,,15745793,,,40234509,,,,
2013,9,1588042488,1494236167,2884615090,,460193338,,,18178528,,,34745736,,,,
2013,10,1696159115,1391596733,3209487514,29629605,480352947,,,24061227,,,34195281,,,,
2013,11,1733707000,1350018729,3145522021,,526403410,,,29135451,,,33881415,,,,
2013,12,1757826949,1435586846,3284928624,,529179437,,,35677908,,,23071657,,,,
2014,1,1774526086,1448512841,3516598365,27078000,822969125,,,39362560,,,34670718,,,,
2014,2,1776170108,1377157019,3345952975,,812134016,,,39056606,,,32130573,,,,
2014,3,2093069712,1326464809,3944729526,,898766864,,,48659436,,,35355071,,,,
2014,4,2042039279,1584674885,3985924056,28297426,706940189,,,50246554,,,27078702,,,,
2014,5,2250354621,1593970104,4127103305,,1154617201,,,56559938,,,34302471,,,,
2014,6,2259630270,1790374043,4316121844,,1240050183,,,63565116,,,37345632,,,,
2014,7,2323048596,1969117295,4708553934,26225089,984686142,,,77573534,,,39145868,,,,
2014,8,2405186042,1674553460,4864731633,,918960446,49793,,84644577,,,37942746,,,,
2014,9,2404821271,1945045868,4883190789,,1293718988,3420438,,90284787,,,34602852,,,,
2014,10,2535214528,2182145966,5065544297,1171998311,1528226318,3211750,,101503838,,,39591964,,,,
2014,11,2505127939,2209954701,5021762514,,1540181456,5565250,,103165549,,,37018534,,,,
2014,12,2717275399,2467210108,5272868382,,1499409248,12644076,,126085884,,,40042825,,,,
2015,1,2827996502,2399422122,6576626326,44644922,1434533540,15081259,15083671,132116692,,,37818155,,,,
2015,2,2842525183,2316325489,6277772689,70353703,1316901541,17666927,14633720,131096557,,,39898303,,,,
2015,3,3224350355,2578984302,7456166724,111765402,1470299527,22831834,16144361,146098940,,,38602869,,,,
2015,4,3115094329,2443347260,7619043056,145792939,1447566597,47875320,20830081,136005382,,,34956673,,,,
2015,5,3419571486,2715270979,7232959408,193791360,1439153692,64480017,22949630,135793329,,,35041766,,,,
2015,6,3273090746,2779842488,7321926062,211090470,1389197907,71200294,25355355,131025894,,,33577037,,,,
2015,7,3308864455,3016080780,7916490582,223531200,1438361514,64779982,28158461,166716205,,,37142484,,,,
2015,8,3443806285,2927481321,7903234903,227226843,1403177613,80196229,27564710,167412586,,,40310377,,,,
2015,9,3316151205,3038747260,7605280153,230521939,1296986412,80857289,27907510,180933109,,,42529899,,,,
2015,10,3669146002,3150113538,10247548343,309854932,1350252068,108284239,30304214,208538962,,,40614564,,,,
2015,11,3648292601,3040489602,9783497293,319049564,1263270759,117629197,31256297,206247404,,,39704159,,,,
2015,12,3885335232,3210720004,10949549189,338607505,1151569745,120907149,38534216,221734443,,,38888337,,,,
2016,1,3863010590,3095268641,9242923459,341680286,1067858647,196730994,34318525,221205612,,,36840986,,,,
2016,2,3683879052,3098678592,9067382858,325901493,784856830,187871403,37238401,215332824,,,33538805,,,,
2016,3,4108520952,3608308930,10177852786,396182781,730681354,220123969,48178924,242305585,,,38883925,,,,
2016,4,3945029656,3537251763,10465577134,396181828,662153687,209399473,42690401,184021526,,,39097117,,,,
2016,5,4399058623,3847547402,11593877046,466182439,619609994,202046353,47877939,193003114,,,31565205,,,,
2016,6,4239407737,3846577623,11620020746,455757018,565445969,215334454,44528846,218352741,,,32674668,,,,
